word,count,mean_rating,mean_polarity,category
competent,166,4.933734939759036,0.9239831325301203,TRUST
long,594,4.776094276094276,0.888339898989899,ANTICIPATION
gorgeous,449,4.928730512249444,0.9445320712694876,JOY
cool,644,4.9021739130434785,0.9208973602484473,CATE
impossible,70,4.4,0.7600671428571429,SADNESS
enjoy,561,4.850267379679145,0.9361187165775401,ANTICIPATION
expertise,62,4.967741935483871,0.9264145161290321,TRUST
row,114,4.578947368421052,0.8724798245614034,ANGER
terrible,51,3.176470588235294,0.29966078431372545,ANGER
found,466,4.830472103004292,0.9156358369098713,JOY
feeling,210,4.814285714285714,0.873775238095238,ANGER
related,42,4.904761904761905,0.9036071428571427,TRUST
happy,535,4.8822429906542055,0.9451773831775702,ANTICIPATION
thankful,60,4.983333333333333,0.9480333333333334,JOY
fear,118,4.9576271186440675,0.8851542372881355,ANGER
soothing,18,4.888888888888889,0.9647722222222223,JOY
arrive,95,4.505263157894737,0.8658957894736843,ANTICIPATION
gate,218,4.8807339449541285,0.7689793577981651,TRUST
kindness,37,4.891891891891892,0.9090270270270271,CATE
assured,77,4.571428571428571,0.8577259740259741,TRUST
calm,252,4.9523809523809526,0.9561043650793649,CATE
included,265,4.886792452830188,0.9333400000000001,CATE
unique,469,4.948827292110874,0.877704264392324,SURPRISE
priceless,85,5.0,0.8757141176470586,CATE
spent,572,4.730769230769231,0.8870496503496503,CATE
peaceful,74,4.972972972972973,0.96675,ANTICIPATION
limited,139,4.561151079136691,0.8124884892086331,ANGER
larger,96,4.8125,0.9467520833333333,DISGUST
bottom,107,4.822429906542056,0.9405766355140186,SADNESS
happen,122,4.5,0.8319975409836066,ANTICIPATION
coming,251,4.804780876494024,0.8842749003984063,ANTICIPATION
broke,28,4.75,0.8671107142857143,FEAR
fault,78,4.410256410256411,0.6936294871794871,SADNESS
love,459,4.947712418300654,0.9491947712418302,JOY
option,343,4.82798833819242,0.8979536443148689,CATE
sickness,465,4.903225806451613,0.8813767741935483,DISGUST
younger,28,4.928571428571429,0.9013749999999999,CATE
machine,20,4.6,0.7444949999999999,TRUST
ultimate,52,4.9423076923076925,0.9039499999999999,ANTICIPATION
john,100,4.92,0.8699939999999999,DISGUST
dinner,54,4.722222222222222,0.8878333333333331,CATE
tower,26,4.884615384615385,0.9337115384615384,CATE
bad,356,4.379213483146067,0.6971435393258427,ANGER
late,267,4.449438202247191,0.8228554307116105,SADNESS
honest,86,4.5813953488372094,0.8288906976744186,ANGER
hate,28,4.607142857142857,0.8587928571428571,ANGER
risk,38,4.5,0.8465315789473684,ANTICIPATION
spoke,103,4.398058252427185,0.7539718446601943,CATE
awful,15,2.2,0.06321333333333333,ANGER
possibility,40,4.325,0.8357175,ANTICIPATION
surprised,196,4.862244897959184,0.9395198979591838,SURPRISE
including,510,4.850980392156862,0.9078231372549018,CATE
provide,242,4.723140495867769,0.9266747933884298,TRUST
county,44,4.909090909090909,0.9203227272727275,TRUST
law,53,4.830188679245283,0.9213622641509436,TRUST
thought,519,4.728323699421965,0.8709487475915222,ANTICIPATION
overpriced,18,3.6666666666666665,0.5899666666666668,ANGER
lead,17,4.352941176470588,0.7601,CATE
share,193,4.922279792746114,0.9329310880829016,ANTICIPATION
fortunate,233,4.957081545064377,0.9601343347639485,CATE
level,153,4.830065359477124,0.9355450980392156,TRUST
crew,350,4.911428571428571,0.8811414285714285,TRUST
words,454,4.940528634361233,0.8930420704845815,ANGER
blast,185,4.967567567567568,0.8915064864864864,ANGER
personable,418,4.9688995215311005,0.923327990430622,CATE
planning,168,4.880952380952381,0.9237357142857143,ANTICIPATION
absolute,269,4.936802973977695,0.8388970260223048,CATE
visit,867,4.93194925028835,0.9149752018454441,CATE
money,1172,4.687713310580205,0.8574079351535836,ANGER
base,376,4.875,0.8493936170212766,TRUST
hurry,15,3.8666666666666667,0.9096599999999999,ANTICIPATION
quiet,161,4.913043478260869,0.9218260869565217,SADNESS
clean,237,4.89873417721519,0.930287341772152,JOY
hope,162,4.7407407407407405,0.9345129629629629,ANTICIPATION
timely,29,4.793103448275862,0.8119413793103448,CATE
rob,16,5.0,0.92540625,ANGER
worry,105,4.942857142857143,0.8962190476190476,ANTICIPATION
friend,241,4.937759336099585,0.9553024896265561,JOY
traveling,128,4.84375,0.9223640624999999,CATE
passenger,353,4.824362606232294,0.9142739376770538,ANTICIPATION
confident,110,4.945454545454545,0.9499027272727271,JOY
expected,282,4.75177304964539,0.8961563829787235,ANTICIPATION
